series,x,value,pixel_x,pixel_y,uncertainty_value,confidence,value_status,visible_colour
Eukarya (phylum),9,0.62988131,212.8,140.7954,0.00282239,0.8445,visible_marker_observed,#ed6e6f
Eukarya (phylum),10,0.63226022,225.0,140.1797,0.00274395,0.8475,visible_marker_observed,#ed6e6f
Eukarya (phylum),11,0.63108492,237.2,140.4839,0.0028135,0.8448,visible_marker_observed,#ed6e6f
Eukarya (phylum),12,0.63367244,249.4,139.8142,0.0027652,0.8467,visible_marker_observed,#ed6e6f
Eukarya (phylum),13,0.62870655,261.6,141.0995,0.00276327,0.8467,visible_marker_observed,#ed6e6f
Eukarya (phylum),14,0.63672026,273.8,139.0253,0.0027683,0.8465,visible_marker_observed,#ed6e6f
Eukarya (phylum),15,0.64371752,286.0,137.2143,0.0027965,0.8455,visible_marker_observed,#ed6e6f
Eukarya (phylum),16,0.64911746,298.2,135.8167,0.00271884,0.8484,visible_marker_observed,#ed6e6f
Eukarya (phylum),17,0.63634101,310.4,139.1235,0.00277873,0.8461,visible_marker_observed,#ed6e6f
Eukarya (phylum),18,0.63601506,322.6,139.2079,0.00276482,0.8467,visible_marker_observed,#ed6e6f
Eukarya (phylum),19,0.63667203,334.8,139.0378,0.00277061,0.8464,visible_marker_observed,#ed6e6f
Eukarya (phylum),20,0.64384956,347.0,137.1801,0.00269991,0.8492,visible_marker_observed,#ed6e6f
Eukarya (phylum),21,0.63399317,359.2,139.7312,0.00274666,0.8474,visible_marker_observed,#ed6e6f
Eukarya (phylum),22,0.63434666,371.4,139.6397,0.0028475,0.8436,visible_marker_observed,#ed6e6f
Eukarya (phylum),23,0.62705003,383.6,141.5282,0.00277911,0.8461,visible_marker_observed,#ed6e6f
Eukarya (phylum),24,0.62834284,395.8,141.1936,0.00272927,0.848,visible_marker_observed,#ed6e6f
Eukarya (phylum),25,0.61238016,408.0,145.3251,0.0027115,0.8487,visible_marker_observed,#ed6e6f
Eukarya (phylum),26,0.61498944,420.2,144.6498,0.0027428,0.8475,visible_marker_observed,#ed6e6f
Eukarya (phylum),27,0.62376692,432.4,142.378,0.00279109,0.8457,visible_marker_observed,#ed6e6f
Eukarya (phylum),28,0.62629548,444.6,141.7235,0.00276791,0.8466,visible_marker_observed,#ed6e6f
Eukarya (phylum),29,0.63150708,456.8,140.3746,0.00278491,0.8459,visible_marker_observed,#ed6e6f
Eukarya (phylum),30,0.63362339,469.0,139.8269,0.00271111,0.8487,visible_marker_observed,#ed6e6f
Eukarya (phylum),31,0.63921647,481.2,138.3793,0.00283823,0.8439,visible_marker_observed,#ed6e6f
Eukarya (phylum),32,0.62924837,493.4,140.9592,0.00276791,0.8466,visible_marker_observed,#ed6e6f
Eukarya (phylum),33,0.6275127,505.6,141.4085,0.00276366,0.8467,visible_marker_observed,#ed6e6f
Eukarya (phylum),34,0.6356345,517.8,139.3064,0.00268175,0.8499,visible_marker_observed,#ed6e6f
Eukarya (phylum),35,0.6280049,530.0,141.2811,0.0028332,0.8441,visible_marker_observed,#ed6e6f
Eukarya (phylum),36,0.62473681,542.2,142.1269,0.0027853,0.8459,visible_marker_observed,#ed6e6f
Eukarya (phylum),37,0.61280329,554.4,145.2156,0.00271575,0.8485,visible_marker_observed,#ed6e6f
Eukarya (phylum),38,0.61987073,566.6,143.3864,0.00280616,0.8451,visible_marker_observed,#ed6e6f
Eukarya (phylum),39,0.622662,578.8,142.664,0.00290468,0.8415,visible_marker_observed,#ed6e6f
Eukarya (phylum),40,0.62465267,591.0,142.1487,0.00271614,0.8485,visible_marker_observed,#ed6e6f
Bacteria (OTU),0,1.0,103.0,45.0,0.0,0.0,visible_marker_observed,#073bb7
Bacteria (OTU),1,0.63991745,115.2,138.1978,0.04341563,0.7,visible_marker_observed,#073bb7
Bacteria (OTU),2,0.56594162,127.4,157.3445,0.00537557,0.7746,visible_marker_observed,#073bb7
Bacteria (OTU),3,0.52917838,139.6,166.8597,0.0042862,0.7989,visible_marker_observed,#073bb7
Bacteria (OTU),4,0.51080143,151.8,171.6161,0.00313264,0.8334,visible_marker_observed,#073bb7
Bacteria (OTU),5,0.48926763,164.0,177.1896,0.00300861,0.8377,visible_marker_observed,#073bb7
Bacteria (OTU),6,0.47079411,176.2,181.9709,0.00303025,0.8369,visible_marker_observed,#073bb7
Bacteria (OTU),7,0.46489736,188.4,183.4972,0.00311718,0.8339,visible_marker_observed,#073bb7
Bacteria (OTU),8,0.45230694,200.6,186.7559,0.00316393,0.8323,visible_marker_observed,#073bb7
Bacteria (OTU),9,0.44321841,212.8,189.1082,0.0032953,0.8279,visible_marker_observed,#073bb7
Bacteria (OTU),10,0.43679924,225.0,190.7696,0.00332273,0.8269,visible_marker_observed,#073bb7
Bacteria (OTU),11,0.42858238,237.2,192.8963,0.00330032,0.8277,visible_marker_observed,#073bb7
Bacteria (OTU),12,0.42441919,249.4,193.9739,0.00317166,0.832,visible_marker_observed,#073bb7
Bacteria (OTU),13,0.42044983,261.6,195.0012,0.00310791,0.8342,visible_marker_observed,#073bb7
Bacteria (OTU),14,0.41681585,273.8,195.9418,0.00338725,0.8248,visible_marker_observed,#073bb7
Bacteria (OTU),15,0.41251892,286.0,197.0539,0.00308589,0.835,visible_marker_observed,#073bb7
Bacteria (OTU),16,0.40629164,298.2,198.6657,0.00316702,0.8322,visible_marker_observed,#073bb7
Bacteria (OTU),17,0.39704486,310.4,201.059,0.00318093,0.8317,visible_marker_observed,#073bb7
Bacteria (OTU),18,0.39427692,322.6,201.7754,0.00335711,0.8258,visible_marker_observed,#073bb7
Bacteria (OTU),19,0.39127185,334.8,202.5532,0.00329298,0.8279,visible_marker_observed,#073bb7
Bacteria (OTU),20,0.39021786,347.0,202.826,0.00327675,0.8285,visible_marker_observed,#073bb7
Bacteria (OTU),21,0.38307545,359.2,204.6746,0.00316509,0.8322,visible_marker_observed,#073bb7
Bacteria (OTU),22,0.38065466,371.4,205.3011,0.00302445,0.8371,visible_marker_observed,#073bb7
Bacteria (OTU),23,0.37026452,383.6,207.9904,0.00320218,0.831,visible_marker_observed,#073bb7
Bacteria (OTU),24,0.36851235,395.8,208.4439,0.00337064,0.8254,visible_marker_observed,#073bb7
Bacteria (OTU),25,0.36869057,408.0,208.3977,0.00335286,0.826,visible_marker_observed,#073bb7
Bacteria (OTU),26,0.37138958,420.2,207.6992,0.00296998,0.8391,visible_marker_observed,#073bb7
Bacteria (OTU),27,0.37026,432.4,207.9915,0.003026,0.8371,visible_marker_observed,#073bb7
Bacteria (OTU),28,0.3646052,444.6,209.4551,0.00311911,0.8338,visible_marker_observed,#073bb7
Bacteria (OTU),29,0.36194845,456.8,210.1428,0.00340425,0.8243,visible_marker_observed,#073bb7
Bacteria (OTU),30,0.35758564,469.0,211.272,0.00333818,0.8264,visible_marker_observed,#073bb7
Bacteria (OTU),31,0.35529236,481.2,211.8655,0.00318441,0.8316,visible_marker_observed,#073bb7
Bacteria (OTU),32,0.35166755,493.4,212.8037,0.00339884,0.8245,visible_marker_observed,#073bb7
Bacteria (OTU),33,0.3470003,505.6,214.0117,0.00330495,0.8275,visible_marker_observed,#073bb7
Bacteria (OTU),34,0.33826013,517.8,216.2738,0.00332157,0.827,visible_marker_observed,#073bb7
Bacteria (OTU),35,0.33602777,530.0,216.8516,0.00303991,0.8366,visible_marker_observed,#073bb7
Bacteria (OTU),36,0.33259882,542.2,217.7391,0.00332195,0.827,visible_marker_observed,#073bb7
Bacteria (OTU),37,0.32519727,554.4,219.6548,0.00312645,0.8336,visible_marker_observed,#073bb7
Bacteria (OTU),38,0.32454733,566.6,219.823,0.00303682,0.8367,visible_marker_observed,#073bb7
Bacteria (OTU),39,0.32518029,578.8,219.6592,0.00334436,0.8262,visible_marker_observed,#073bb7
Bacteria (OTU),40,0.33036956,591.0,218.3161,0.00332234,0.827,visible_marker_observed,#073bb7
Eukarya (OTU),0,1.0,103.0,45.0,0.01966641,0.7018,visible_marker_observed,#d81919
Eukarya (OTU),1,0.56100776,115.2,158.6215,0.05920939,0.7,visible_marker_observed,#d81919
Eukarya (OTU),2,0.42888762,127.4,192.8173,0.00790118,0.7388,visible_marker_observed,#d81919
Eukarya (OTU),3,0.3869001,139.6,203.6847,0.00523454,0.7774,visible_marker_observed,#d81919
Eukarya (OTU),4,0.35918908,151.8,210.8569,0.0036923,0.8154,visible_marker_observed,#d81919
Eukarya (OTU),5,0.33844034,164.0,216.2272,0.0031562,0.8325,visible_marker_observed,#d81919
Eukarya (OTU),6,0.31742048,176.2,221.6676,0.00321184,0.8306,visible_marker_observed,#d81919
Eukarya (OTU),7,0.30517248,188.4,224.8377,0.00329723,0.8278,visible_marker_observed,#d81919
Eukarya (OTU),8,0.29476235,200.6,227.5321,0.00311757,0.8339,visible_marker_observed,#d81919
Eukarya (OTU),9,0.28439833,212.8,230.2146,0.0034908,0.8215,visible_marker_observed,#d81919
Eukarya (OTU),10,0.27640671,225.0,232.283,0.00330766,0.8274,visible_marker_observed,#d81919
Eukarya (OTU),11,0.26808519,237.2,234.4368,0.00314268,0.833,visible_marker_observed,#d81919
Eukarya (OTU),12,0.26019268,249.4,236.4795,0.00323811,0.8298,visible_marker_observed,#d81919
Eukarya (OTU),13,0.25680001,261.6,237.3576,0.00363607,0.8171,visible_marker_observed,#d81919
Eukarya (OTU),14,0.25551111,273.8,237.6912,0.00333277,0.8266,visible_marker_observed,#d81919
Eukarya (OTU),15,0.25410467,286.0,238.0553,0.00310366,0.8344,visible_marker_observed,#d81919
Eukarya (OTU),16,0.25691995,298.2,237.3266,0.0035163,0.8207,visible_marker_observed,#d81919
