series,x,x_pixel,y_pixel,value,candidate_value,status,confidence,pixel_count,vertical_span,horizontal_span,size_support,compactness,path_margin,pixel_uncertainty,value_uncertainty,fill_fraction,dominant_template_index,distance_to_reference_line_px,reason
rigid,95.0,994.585254,1015.0,3.47677906,3.47677906,extracted,0.944468,106,14,16,1.0,0.875,4.0,1.3598,0.00170678,0.473214,1,2.58,
rigid,97.5,1016.803668,1005.0,3.48926344,3.48926344,extracted,0.943345,125,13,16,1.0,0.8125,4.0,1.162755,0.00146232,0.600962,1,7.42,
rigid,100.0,1039.022082,995.0,3.50174781,3.50174781,extracted,0.959058,125,15,16,1.0,0.9375,4.0,1.341641,0.00168423,0.520833,1,17.42,
rigid,102.5,1061.240496,984.0,3.51548063,3.51548063,extracted,0.951202,123,14,16,1.0,0.875,4.0,1.262337,0.00158581,0.549107,1,28.42,
rigid,105.0,1083.45891,973.0,3.52921344,3.52921344,extracted,0.951202,124,14,16,1.0,0.875,4.0,1.257237,0.00157948,0.553571,1,39.42,
rigid,107.5,1105.677324,962.0,3.54294625,3.54294625,extracted,0.966914,116,15,15,1.0,1.0,4.0,1.392715,0.00174766,0.515556,1,50.42,
rigid,110.0,1127.895738,950.0,3.5579275,3.5579275,extracted,0.963003,109,15,15,1.0,1.0,4.0,1.436739,0.00180235,0.484444,1,62.42,
rigid,112.5,1150.114152,938.0,3.57290875,3.57290875,extracted,0.964121,110,15,15,1.0,1.0,4.0,1.430194,0.00179422,0.488889,1,74.42,
rigid,115.0,1172.332566,926.0,3.58789,3.58789,extracted,0.961886,108,15,15,1.0,1.0,4.0,1.443376,0.00181059,0.48,1,86.42,
rigid,117.5,1194.55098,939.0,3.57166031,3.57166031,extracted,0.988035,90,14,13,1.0,0.928571,7.663791,1.47573,0.0018508,0.494505,1,73.42,
rigid,120.0,1216.769394,951.0,3.55667906,3.55667906,extracted,0.972539,91,15,14,1.0,0.933333,7.473462,1.572427,0.001971,0.433333,1,61.42,
rigid,122.5,1238.987808,963.0,3.54169781,3.54169781,extracted,0.888396,101,21,17,1.0,0.809524,4.0,2.0,0.00250311,0.282913,1,49.42,
rigid,125.0,1261.206222,974.5,3.52734078,3.52734078,extracted,0.883467,94,21,17,1.0,0.809524,4.0,2.0,0.00250311,0.263305,1,37.92,
rigid,127.5,1283.424636,985.0,3.51423219,3.51423219,extracted,0.883467,94,21,17,1.0,0.809524,4.0,2.0,0.00250311,0.263305,1,27.42,
rigid,130.0,1305.64305,997.0,3.49925094,3.49925094,extracted,0.875161,93,22,17,1.0,0.772727,4.0,2.0,0.00250311,0.248663,1,15.42,
rigid,132.5,1327.861464,1006.0,3.488015,3.488015,extracted,0.883704,72,13,17,1.0,0.764706,3.677737,1.532065,0.00192082,0.325792,1,6.42,
rigid,135.0,1350.079878,1017.0,3.47428219,3.47428219,extracted,0.879295,77,20,17,1.0,0.85,4.0,2.0,0.00250311,0.226471,0,4.58,
rigid,137.5,1372.298292,1024.0,3.46554312,3.46554312,extracted,0.941423,68,13,11,1.0,0.846154,4.0,1.576482,0.00197604,0.475524,0,11.58,
