Time (units),Flights of stairs climbed,Walking and running distance,Steps taken,Sleep quality
Jan–Apr 2015,66.1%,38.2%,40.8%,87.9%
May–Aug 2015,75.8%,35.8%,39.7%,87.8%
Sep–Dec 2015,63.3%,33.8%,38.3%,90.7%
Jan–Apr 2016,62.4%,30.7%,37.2%,88.1%
May–Aug 2016,79.6%,64.8%,69.0%,79.3%
Sep–Dec 2016,55.1%,74.3%,78.8%,83.9%
