map_id,cell_type,spot_id,pdf_x_pt,pdf_y_pt,panel_x_norm,panel_y_norm,displayed_colour_value_approx,value_status,colourbar_y_px,colourbar_lab_distance,fill_hex,fill_r,fill_g,fill_b,marker_width_pt,marker_height_pt,drawing_index,visible_status
map_11,Acinar cells,map_11_0001,265.572998046875,59.21354866027832,0.32142048961559394,0.0,0.03159577972952354,colourbar_calibrated_visible_approximation,587,2.5100158250946967,#43284f,67,40,79,1.90997314453125,2.0509986877441406,447,vector_marker_extracted
map_11,Acinar cells,map_11_0002,267.4830017089844,59.21354866027832,0.35714018698522776,0.0,0.04702403432786674,colourbar_calibrated_visible_approximation,583,1.0566360313948728,#472c55,71,44,85,1.90997314453125,2.0509986877441406,509,vector_marker_extracted
map_11,Acinar cells,map_11_0003,269.39300537109375,59.21354866027832,0.3928598843548616,0.0,0.050881097977452654,colourbar_calibrated_visible_approximation,582,0.8771663379539828,#472c56,71,44,86,1.90997314453125,2.0509986877441406,514,vector_marker_extracted
map_11,Acinar cells,map_11_0004,271.302490234375,59.21354866027832,0.42856987947234587,0.0,0.05859522527662402,colourbar_calibrated_visible_approximation,580,1.038556871910018,#4a305d,74,48,93,1.90899658203125,2.0509986877441406,571,vector_marker_extracted
map_11,Acinar cells,map_11_0005,273.2120056152344,59.21354866027832,0.46428044531054485,0.0,0.06245228892620994,colourbar_calibrated_visible_approximation,579,1.0343827312341518,#4a305e,74,48,94,1.90997314453125,2.0509986877441406,579,vector_marker_extracted
map_11,Acinar cells,map_11_0006,275.12200927734375,59.21354866027832,0.5000001426801787,0.0,0.05473816162703811,colourbar_calibrated_visible_approximation,581,0.41515244965855336,#482e59,72,46,89,1.90997314453125,2.0509986877441406,539,vector_marker_extracted
map_11,Acinar cells,map_11_0007,277.0315246582031,59.21354866027832,0.5357107085183777,0.0,0.043166970678280826,colourbar_calibrated_visible_approximation,584,1.7185371924090493,#452a51,69,42,81,1.90899658203125,2.0509986877441406,477,vector_marker_extracted
map_11,Acinar cells,map_11_0008,278.9410095214844,59.21354866027832,0.571420703635862,0.0,0.04702403432786674,colourbar_calibrated_visible_approximation,583,1.0566360313948728,#472c55,71,44,85,1.90997314453125,2.0509986877441406,500,vector_marker_extracted
map_11,Acinar cells,map_11_0009,280.85101318359375,59.21354866027832,0.6071404010054957,0.0,0.043166970678280826,colourbar_calibrated_visible_approximation,584,1.4334783831576416,#462b53,70,43,83,1.90997314453125,2.0509986877441406,488,vector_marker_extracted
map_11,Acinar cells,map_11_0010,282.760986328125,59.21354866027832,0.6428595276544149,0.0,0.0663093525757954,colourbar_calibrated_visible_approximation,578,1.479473864929783,#4b3160,75,49,96,1.90997314453125,2.0509986877441406,591,vector_marker_extracted
map_11,Acinar cells,map_11_0011,256.02449798583984,61.26451301574707,0.14285039612298003,0.0293191760967309,0.02002458878076626,colourbar_calibrated_visible_approximation,590,2.565450486612391,#43274d,67,39,77,1.9090118408203125,2.0509986877441406,438,vector_marker_extracted
map_11,Acinar cells,map_11_0012,257.9339904785156,61.26451301574707,0.178560533920643,0.0293191760967309,0.043166970678280826,colourbar_calibrated_visible_approximation,584,1.4334783831576416,#462b53,70,43,83,1.90997314453125,2.0509986877441406,485,vector_marker_extracted
map_11,Acinar cells,map_11_0013,259.843994140625,61.26451301574707,0.21428023129027682,0.0293191760967309,0.043166970678280826,colourbar_calibrated_visible_approximation,584,1.4334783831576416,#462b53,70,43,83,1.90997314453125,2.0509986877441406,491,vector_marker_extracted
map_11,Acinar cells,map_11_0014,261.7539978027344,61.26451301574707,0.24999992865991066,0.0293191760967309,0.06245228892620994,colourbar_calibrated_visible_approximation,579,1.0343827312341518,#4a305e,74,48,94,1.90997314453125,2.0509986877441406,575,vector_marker_extracted
map_11,Acinar cells,map_11_0015,263.66351318359375,61.26451301574707,0.28571049449810965,0.0293191760967309,0.04702403432786674,colourbar_calibrated_visible_approximation,583,1.0566360313948728,#472c55,71,44,85,1.90899658203125,2.0509986877441406,508,vector_marker_extracted
map_11,Acinar cells,map_11_0016,265.572998046875,61.26451301574707,0.32142048961559394,0.0293191760967309,0.043166970678280826,colourbar_calibrated_visible_approximation,584,1.4334783831576416,#462b53,70,43,83,1.90997314453125,2.0509986877441406,483,vector_marker_extracted
map_11,Acinar cells,map_11_0017,267.4830017089844,61.26451301574707,0.35714018698522776,0.0293191760967309,0.05859522527662402,colourbar_calibrated_visible_approximation,580,1.038556871910018,#4a305d,74,48,93,1.90997314453125,2.0509986877441406,568,vector_marker_extracted
map_11,Acinar cells,map_11_0018,269.39300537109375,61.26451301574707,0.3928598843548616,0.0293191760967309,0.05473816162703811,colourbar_calibrated_visible_approximation,581,0.7866402422253508,#482e5a,72,46,90,1.90997314453125,2.0509986877441406,548,vector_marker_extracted
map_11,Acinar cells,map_11_0019,271.302490234375,61.26451301574707,0.42856987947234587,0.0293191760967309,0.050881097977452654,colourbar_calibrated_visible_approximation,582,0.4420308385465301,#472d57,71,45,87,1.90899658203125,2.0509986877441406,533,vector_marker_extracted
map_11,Acinar cells,map_11_0020,273.2120056152344,61.26451301574707,0.46428044531054485,0.0293191760967309,0.043166970678280826,colourbar_calibrated_visible_approximation,584,1.7185371924090493,#452a51,69,42,81,1.90997314453125,2.0509986877441406,473,vector_marker_extracted
map_11,Acinar cells,map_11_0021,275.12200927734375,61.26451301574707,0.5000001426801787,0.0293191760967309,0.13959356191792502,colourbar_calibrated_visible_approximation,559,1.250004605354891,#50357b,80,53,123,1.90997314453125,2.0509986877441406,675,vector_marker_extracted
map_11,Acinar cells,map_11_0022,277.0315246582031,61.26451301574707,0.5357107085183777,0.0293191760967309,0.043166970678280826,colourbar_calibrated_visible_approximation,584,1.7185371924090493,#452a51,69,42,81,1.90899658203125,2.0509986877441406,481,vector_marker_extracted
map_11,Acinar cells,map_11_0023,278.9410095214844,61.26451301574707,0.571420703635862,0.0293191760967309,0.03159577972952354,colourbar_calibrated_visible_approximation,587,2.1452647653023607,#452950,69,41,80,1.90997314453125,2.0509986877441406,468,vector_marker_extracted
map_11,Acinar cells,map_11_0024,280.85101318359375,61.26451301574707,0.6071404010054957,0.0293191760967309,0.05473816162703811,colourbar_calibrated_visible_approximation,581,0.41515244965855336,#482e59,72,46,89,1.90997314453125,2.0509986877441406,547,vector_marker_extracted
map_11,Acinar cells,map_11_0025,282.760986328125,61.26451301574707,0.6428595276544149,0.0293191760967309,0.03159577972952354,colourbar_calibrated_visible_approximation,587,2.5100158250946967,#43284f,67,40,79,1.90997314453125,2.0509986877441406,454,vector_marker_extracted
map_11,Acinar cells,map_11_0026,284.6705017089844,61.26451301574707,0.6785700934926139,0.0293191760967309,0.07402347987496723,colourbar_calibrated_visible_approximation,576,1.8354427768233326,#4c3164,76,49,100,1.90899658203125,2.0509986877441406,607,vector_marker_extracted
map_11,Acinar cells,map_11_0027,286.5799865722656,61.26451301574707,0.7142800886100982,0.0293191760967309,0.05473816162703811,colourbar_calibrated_visible_approximation,581,0.7866402422253508,#482e5a,72,46,90,1.90997314453125,2.0509986877441406,550,vector_marker_extracted
map_11,Acinar cells,map_11_0028,256.02449798583984,63.3155403137207,0.14285039612298003,0.058639251976229705,0.03159577972952354,colourbar_calibrated_visible_approximation,587,2.1452647653023607,#452950,69,41,80,1.9090118408203125,2.0510025024414062,469,vector_marker_extracted
map_11,Acinar cells,map_11_0029,257.9339904785156,63.3155403137207,0.178560533920643,0.058639251976229705,0.050881097977452654,colourbar_calibrated_visible_approximation,582,0.8771663379539828,#472c56,71,44,86,1.90997314453125,2.0510025024414062,523,vector_marker_extracted
map_11,Acinar cells,map_11_0030,259.843994140625,63.3155403137207,0.21428023129027682,0.058639251976229705,0.04702403432786674,colourbar_calibrated_visible_approximation,583,1.0566360313948728,#472c55,71,44,85,1.90997314453125,2.0510025024414062,503,vector_marker_extracted
map_11,Acinar cells,map_11_0031,261.7539978027344,63.3155403137207,0.24999992865991066,0.058639251976229705,0.47130103578230104,colourbar_calibrated_visible_approximation,473,1.5044154833153012,#3a818c,58,129,140,1.90997314453125,2.0510025024414062,802,vector_marker_extracted
map_11,Acinar cells,map_11_0032,263.66351318359375,63.3155403137207,0.28571049449810965,0.058639251976229705,0.2553054714054981,colourbar_calibrated_visible_approximation,529,0.776100925110733,#475189,71,81,137,1.90899658203125,2.0510025024414062,755,vector_marker_extracted
map_11,Acinar cells,map_11_0033,265.572998046875,63.3155403137207,0.32142048961559394,0.058639251976229705,0.1820212620633687,colourbar_calibrated_visible_approximation,548,1.1398698791915136,#4d4182,77,65,130,1.90997314453125,2.0510025024414062,718,vector_marker_extracted
map_11,Acinar cells,map_11_0034,267.4830017089844,63.3155403137207,0.35714018698522776,0.058639251976229705,0.05473816162703811,colourbar_calibrated_visible_approximation,581,0.41515244965855336,#482e59,72,46,89,1.90997314453125,2.0510025024414062,546,vector_marker_extracted
map_11,Acinar cells,map_11_0035,269.39300537109375,63.3155403137207,0.3928598843548616,0.058639251976229705,0.10487998907165316,colourbar_calibrated_visible_approximation,568,1.830630313225068,#503171,80,49,113,1.90997314453125,2.0510025024414062,637,vector_marker_extracted
map_11,Acinar cells,map_11_0036,271.302490234375,63.3155403137207,0.42856987947234587,0.058639251976229705,0.19744951666171143,colourbar_calibrated_visible_approximation,544,1.3539889434866552,#4c4484,76,68,132,1.90899658203125,2.0510025024414062,728,vector_marker_extracted
map_11,Acinar cells,map_11_0037,273.2120056152344,63.3155403137207,0.46428044531054485,0.058639251976229705,0.050881097977452654,colourbar_calibrated_visible_approximation,582,0.8771663379539828,#472c56,71,44,86,1.90997314453125,2.0510025024414062,526,vector_marker_extracted
map_11,Acinar cells,map_11_0038,275.12200927734375,63.3155403137207,0.5000001426801787,0.058639251976229705,0.05473816162703811,colourbar_calibrated_visible_approximation,581,0.7866402422253508,#482e5a,72,46,90,1.90997314453125,2.0510025024414062,555,vector_marker_extracted
map_11,Acinar cells,map_11_0039,277.0315246582031,63.3155403137207,0.5357107085183777,0.058639251976229705,0.05859522527662402,colourbar_calibrated_visible_approximation,580,1.038556871910018,#4a305d,74,48,93,1.90899658203125,2.0510025024414062,570,vector_marker_extracted
map_11,Acinar cells,map_11_0040,278.9410095214844,63.3155403137207,0.571420703635862,0.058639251976229705,0.04702403432786674,colourbar_calibrated_visible_approximation,583,1.0566360313948728,#472c55,71,44,85,1.90997314453125,2.0510025024414062,504,vector_marker_extracted
map_11,Acinar cells,map_11_0041,280.85101318359375,63.3155403137207,0.6071404010054957,0.058639251976229705,0.050881097977452654,colourbar_calibrated_visible_approximation,582,0.4420308385465301,#472d57,71,45,87,1.90997314453125,2.0510025024414062,536,vector_marker_extracted
map_11,Acinar cells,map_11_0042,282.760986328125,63.3155403137207,0.6428595276544149,0.058639251976229705,0.043166970678280826,colourbar_calibrated_visible_approximation,584,1.7185371924090493,#452a51,69,42,81,1.90997314453125,2.0510025024414062,476,vector_marker_extracted
map_11,Acinar cells,map_11_0043,284.6705017089844,63.3155403137207,0.6785700934926139,0.058639251976229705,0.03159577972952354,colourbar_calibrated_visible_approximation,587,2.1452647653023607,#452950,69,41,80,1.90899658203125,2.0510025024414062,459,vector_marker_extracted
map_11,Acinar cells,map_11_0044,286.5799865722656,63.3155403137207,0.7142800886100982,0.058639251976229705,0.043166970678280826,colourbar_calibrated_visible_approximation,584,1.7185371924090493,#452a51,69,42,81,1.90997314453125,2.0510025024414062,475,vector_marker_extracted
map_11,Acinar cells,map_11_0045,288.489990234375,63.3155403137207,0.749999785979732,0.058639251976229705,0.0663093525757954,colourbar_calibrated_visible_approximation,578,1.479473864929783,#4b3160,75,49,96,1.90997314453125,2.0510025024414062,593,vector_marker_extracted
map_11,Acinar cells,map_11_0046,290.3995056152344,63.3155403137207,0.7857103518179309,0.058639251976229705,0.03159577972952354,colourbar_calibrated_visible_approximation,587,2.5100158250946967,#43284f,67,40,79,1.90899658203125,2.0510025024414062,449,vector_marker_extracted
map_11,Acinar cells,map_11_0047,292.3089904785156,63.3155403137207,0.8214203469354152,0.058639251976229705,0.13573649826833956,colourbar_calibrated_visible_approximation,560,1.3025020118335993,#51347a,81,52,122,1.90997314453125,2.0510025024414062,673,vector_marker_extracted
map_11,Acinar cells,map_11_0048,256.02449798583984,65.36650466918945,0.14285039612298003,0.0879584280729606,0.02002458878076626,colourbar_calibrated_visible_approximation,590,2.565450486612391,#43274d,67,39,77,1.9090118408203125,2.0510025024414062,431,vector_marker_extracted
map_11,Acinar cells,map_11_0049,257.9339904785156,65.36650466918945,0.178560533920643,0.0879584280729606,0.09330879812289587,colourbar_calibrated_visible_approximation,571,1.7676195400835537,#50316f,80,49,111,1.90997314453125,2.0510025024414062,636,vector_marker_extracted
