kind,set,series,category,spot_id,pdf_x_pt,pdf_y_pt,panel_x_norm,panel_y_norm,pixel_x,pixel_y,radius,fill,fill_r,fill_g,fill_b,marker_width_pt,marker_height_pt,value,value_status,colourbar_y_px,colourbar_lab_distance,drawing_index,visible_status,numeric_use_allowed,coordinate_space
point,region_map,categorical_region_spot,Cancer,region_0020,148.4550018310547,77.57551193237305,0.4642920762116312,0.03845889049973726,285.229174,123.231300,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,122,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0021,151.68499755859375,77.57551193237305,0.5,0.03845889049973726,298.687490,123.231300,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,143,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0022,154.91600036621094,77.57551193237305,0.5357190571587234,0.03845889049973726,312.150002,123.231300,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,164,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0023,158.14700317382812,77.57551193237305,0.5714381143174468,0.03845889049973726,325.612513,123.231300,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,185,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0024,161.3769989013672,77.57551193237305,0.6071460381058156,0.03845889049973726,339.070829,123.231300,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,206,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0025,164.60800170898438,77.57551193237305,0.642865095264539,0.03845889049973726,352.533340,123.231300,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,228,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0026,167.83799743652344,77.57551193237305,0.6785730190529078,0.03845889049973726,365.991656,123.231300,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,248,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0027,171.06900024414062,77.57551193237305,0.7142920762116312,0.03845889049973726,379.454168,123.231300,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,267,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Duct Epithelium,region_0028,119.37999725341797,80.7485466003418,0.14286501092082418,0.07691852079269769,164.083322,136.452278,3.177087,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,396,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Duct Epithelium,region_0029,122.61000061035156,80.7485466003418,0.1785730190529078,0.07691852079269769,177.541669,136.452278,3.177087,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,404,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Duct Epithelium,region_0030,125.84100341796875,80.7485466003418,0.2142920762116312,0.07691852079269769,191.004181,136.452278,3.177087,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,411,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Duct Epithelium,region_0031,129.0709991455078,80.7485466003418,0.25,0.07691852079269769,204.462496,136.452278,3.177087,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,424,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Stroma,region_0032,132.302001953125,80.7485466003418,0.2857190571587234,0.07691852079269769,217.925008,136.452278,3.177087,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,15,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Stroma,region_0033,135.5330047607422,80.7485466003418,0.3214381143174468,0.07691852079269769,231.387520,136.452278,3.177087,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,35,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Stroma,region_0034,138.76300048828125,80.7485466003418,0.3571460381058156,0.07691852079269769,244.845835,136.452278,3.177087,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,56,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0035,141.99400329589844,80.7485466003418,0.392865095264539,0.07691852079269769,258.308347,136.452278,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,77,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
point,region_map,categorical_region_spot,Cancer,region_0036,145.2239990234375,80.7485466003418,0.4285730190529078,0.07691852079269769,271.766663,136.452278,3.177087,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,,categorical_visible_marker_no_numeric_value,,,99,vector_marker_extracted,false,pdf_vector_point_and_source_crop_pixel
