spot_id,region,pdf_x_pt,pdf_y_pt,panel_x_norm,panel_y_norm,fill_hex,fill_r,fill_g,fill_b,marker_width_pt,marker_height_pt,drawing_index,visible_status
region_0001,Stroma,135.5330047607422,74.40253829956055,0.3214381143174468,0.0,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,37,vector_marker_extracted
region_0002,Stroma,138.76300048828125,74.40253829956055,0.3571460381058156,0.0,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,58,vector_marker_extracted
region_0003,Stroma,141.99400329589844,74.40253829956055,0.392865095264539,0.0,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,79,vector_marker_extracted
region_0004,Cancer,145.2239990234375,74.40253829956055,0.4285730190529078,0.0,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,101,vector_marker_extracted
region_0005,Cancer,148.4550018310547,74.40253829956055,0.4642920762116312,0.0,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,123,vector_marker_extracted
region_0006,Cancer,151.68499755859375,74.40253829956055,0.5,0.0,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,144,vector_marker_extracted
region_0007,Cancer,154.91600036621094,74.40253829956055,0.5357190571587234,0.0,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,165,vector_marker_extracted
region_0008,Cancer,158.14700317382812,74.40253829956055,0.5714381143174468,0.0,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,186,vector_marker_extracted
region_0009,Cancer,161.3769989013672,74.40253829956055,0.6071460381058156,0.0,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,207,vector_marker_extracted
region_0010,Cancer,164.60800170898438,74.40253829956055,0.642865095264539,0.0,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,229,vector_marker_extracted
region_0011,Duct Epithelium,119.37999725341797,77.57551193237305,0.14286501092082418,0.03845889049973726,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,397,vector_marker_extracted
region_0012,Duct Epithelium,122.61000061035156,77.57551193237305,0.1785730190529078,0.03845889049973726,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,405,vector_marker_extracted
region_0013,Duct Epithelium,125.84100341796875,77.57551193237305,0.2142920762116312,0.03845889049973726,#3b80b1,59,128,177,1.246002197265625,1.5250015258789062,412,vector_marker_extracted
region_0014,Stroma,129.0709991455078,77.57551193237305,0.25,0.03845889049973726,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,425,vector_marker_extracted
region_0015,Stroma,132.302001953125,77.57551193237305,0.2857190571587234,0.03845889049973726,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,16,vector_marker_extracted
region_0016,Stroma,135.5330047607422,77.57551193237305,0.3214381143174468,0.03845889049973726,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,36,vector_marker_extracted
region_0017,Stroma,138.76300048828125,77.57551193237305,0.3571460381058156,0.03845889049973726,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,57,vector_marker_extracted
region_0018,Stroma,141.99400329589844,77.57551193237305,0.392865095264539,0.03845889049973726,#1b449c,27,68,156,1.246002197265625,1.5250015258789062,78,vector_marker_extracted
region_0019,Cancer,145.2239990234375,77.57551193237305,0.4285730190529078,0.03845889049973726,#ca2f2e,202,47,46,1.246002197265625,1.5250015258789062,100,vector_marker_extracted
