series,x,x_pixel,y_pixel,value,candidate_value,status,confidence,pixel_count,vertical_span,horizontal_span,size_support,compactness,path_margin,pixel_uncertainty,value_uncertainty,fill_fraction,dominant_template_index,distance_to_reference_line_px,reason
surface_reconstruction,90.0,950.148426,639.0,3.49588019,3.49588019,extracted,0.957245,139,13,12,1.0,0.923077,4.0,1.102646,0.00145367,0.891026,0,56.167,
surface_reconstruction,92.5,972.36684,625.0,3.51335816,3.51335816,extracted,0.948957,139,14,12,1.0,0.857143,4.0,1.187465,0.00155431,0.827381,0,42.167,
surface_reconstruction,95.0,994.585254,610.0,3.53208454,3.53208454,extracted,0.947576,129,13,11,1.0,0.846154,4.0,1.144586,0.00150334,0.902098,0,27.167,
surface_reconstruction,97.5,1016.803668,596.0,3.54956251,3.54956251,extracted,0.939979,128,14,11,1.0,0.785714,4.0,1.237437,0.00161393,0.831169,0,13.167,
surface_reconstruction,100.0,1039.022082,581.0,3.56828889,3.56828889,extracted,0.939979,118,14,11,1.0,0.785714,4.0,1.288804,0.00167541,0.766234,0,1.833,
surface_reconstruction,102.5,1061.240496,567.0,3.58576685,3.58576685,extracted,0.947576,118,13,11,1.0,0.846154,4.0,1.196747,0.00156537,0.825175,0,15.833,
surface_reconstruction,105.0,1083.45891,553.0,3.60324482,3.60324482,extracted,0.947576,117,13,11,1.0,0.846154,4.0,1.20185,0.00157145,0.818182,0,29.833,
surface_reconstruction,107.5,1105.677324,539.0,3.62072278,3.62072278,extracted,0.937907,105,13,10,1.0,0.769231,4.0,1.26867,0.00165129,0.807692,0,43.833,
surface_reconstruction,110.0,1127.895738,525.0,3.63820074,3.63820074,extracted,0.922022,102,14,9,1.0,0.642857,4.0,1.386207,0.00179251,0.809524,0,57.833,
surface_reconstruction,112.5,1150.114152,510.0,3.65692713,3.65692713,extracted,0.922022,104,14,9,1.0,0.642857,4.0,1.372813,0.00177637,0.825397,0,72.833,
surface_reconstruction,115.0,1172.332566,494.0,3.67690194,3.67690194,extracted,0.928237,99,13,9,1.0,0.692308,4.0,1.306549,0.0016967,0.846154,0,88.833,
surface_reconstruction,117.5,1194.55098,503.0,3.66566611,3.66566611,extracted,0.948077,87,13,8,1.0,0.615385,7.139247,1.393746,0.0018016,0.836538,0,79.833,
surface_reconstruction,120.0,1216.769394,518.0,3.64693972,3.64693972,extracted,0.942352,84,14,8,1.0,0.571429,7.126447,1.527525,0.00196338,0.75,0,64.833,
surface_reconstruction,122.5,1238.987808,533.0,3.62821333,3.62821333,extracted,0.947887,78,13,8,1.0,0.615385,7.034782,1.47196,0.00189607,0.75,0,49.833,
surface_reconstruction,125.0,1261.206222,547.0,3.61073537,3.61073537,extracted,0.94214,81,14,8,1.0,0.571429,7.010515,1.555556,0.00199739,0.723214,0,35.833,
surface_reconstruction,127.5,1283.424636,561.0,3.59325741,3.59325741,extracted,0.941726,81,14,8,1.0,0.571429,6.814142,1.555556,0.00199739,0.723214,0,21.833,
surface_reconstruction,130.0,1305.64305,575.5,3.57515523,3.57515523,extracted,0.911411,62,14,6,1.0,0.428571,4.866097,1.778002,0.00226832,0.738095,0,7.333,
surface_reconstruction,132.5,1327.861464,590.0,3.55705306,3.55705306,extracted,0.900792,66,13,6,1.0,0.461538,4.059804,1.600189,0.0020516,0.846154,0,7.167,
surface_reconstruction,135.0,1350.079878,604.0,3.5395751,3.5395751,extracted,0.90001,64,13,6,1.0,0.461538,4.029499,1.625,0.00208178,0.820513,0,21.167,
surface_reconstruction,137.5,1372.298292,618.0,3.52209714,3.52209714,extracted,0.895086,65,14,6,1.0,0.428571,4.0,1.736486,0.00221763,0.77381,0,35.167,
