series,sample_index,log10_molar,plotted_value,pdf_x_pt,pdf_y_pt,status
ADR,0,-11.071008055686276,18.496329798461574,106.73899841308594,267.613037109375,curve_path_traced
ADR,1,-10.4149125020706,18.496329798461574,112.92499542236328,267.613037109375,curve_path_traced
ADR,2,-10.408973089108098,18.59864111430748,112.98099517822266,267.5560302734375,curve_path_traced
ADR,3,-10.137243327704985,18.59864111430748,115.54299926757812,267.5560302734375,curve_path_traced
ADR,4,-10.131303914742483,18.697337576381525,115.5989990234375,267.50103759765625,curve_path_traced
ADR,5,-9.95980296085808,18.697337576381525,117.21599578857422,267.50103759765625,curve_path_traced
ADR,6,-9.954181557336213,18.7978414653415,117.26899719238281,267.4450378417969,curve_path_traced
ADR,7,-9.841756723636193,18.7978414653415,118.32899475097656,267.4450378417969,curve_path_traced
ADR,8,-9.829877897711189,18.9001527811874,118.44099426269531,267.3880310058594,curve_path_traced
ADR,9,-9.747255322786229,18.9001527811874,119.22000122070312,267.3880310058594,curve_path_traced
ADR,10,-9.735376496861225,19.00065667014738,119.33200073242188,267.33203125,curve_path_traced
ADR,11,-9.664633557045596,19.00065667014738,119.9990005493164,267.33203125,curve_path_traced
ADR,12,-9.658588140936216,19.101160559107353,120.05599975585938,267.2760314941406,curve_path_traced
ADR,13,-9.599512020751831,19.101160559107353,120.61299896240234,267.2760314941406,curve_path_traced
ADR,14,-9.59357260778933,19.201664448067326,120.66899871826172,267.22003173828125,curve_path_traced
ADR,15,-9.546269310383073,19.201664448067326,121.11499786376953,267.22003173828125,curve_path_traced
ADR,16,-9.534390484458068,19.3021683370273,121.22699737548828,267.1640319824219,curve_path_traced
ADR,17,-9.327465059092411,19.69881638272111,123.17799377441406,266.9430236816406,curve_path_traced
ADR,18,-9.321842846386218,19.801072928055316,123.23100280761719,266.88604736328125,curve_path_traced
ADR,19,-9.29808519453621,19.801072928055316,123.45500183105469,266.88604736328125,curve_path_traced
ADR,20,-9.286100365464328,19.901576817015293,123.56800079345703,266.8300476074219,curve_path_traced
ADR,21,-9.262660723054957,19.901576817015293,123.78900146484375,266.8300476074219,curve_path_traced
ADR,22,-9.256721310092454,20.000328049601034,123.84500122070312,266.7750244140625,curve_path_traced
ADR,23,-9.238903071204948,20.000328049601034,124.01300048828125,266.7750244140625,curve_path_traced
ADR,24,-9.232857655095568,20.10258459493524,124.06999969482422,266.7180480957031,curve_path_traced
ADR,25,-9.209524015833075,20.10258459493524,124.29000091552734,266.7180480957031,curve_path_traced
ADR,26,-9.197539186761192,20.195913546863196,124.40299987792969,266.6660461425781,curve_path_traced
ADR,27,-9.18566036083619,20.195913546863196,124.51499938964844,266.6660461425781,curve_path_traced
ADR,28,-9.17409954435182,20.298224862709098,124.6240005493164,266.6090393066406,curve_path_traced
ADR,29,-9.162220718426818,20.298224862709098,124.73600006103516,266.6090393066406,curve_path_traced
ADR,30,-9.150235889354935,20.398728751669076,124.8489990234375,266.55303955078125,curve_path_traced
ADR,31,-9.13846306657681,20.398728751669076,124.95999908447266,266.55303955078125,curve_path_traced
ADR,32,-9.126902250092442,20.49923264062905,125.06900024414062,266.4970397949219,curve_path_traced
ADR,33,-9.037917058801792,20.90124819646895,125.90799713134766,266.2730407714844,curve_path_traced
ADR,34,-9.03197764583929,20.996384575282832,125.96399688720703,266.22003173828125,curve_path_traced
ADR,35,-9.01447741639242,20.996384575282832,126.12899780273438,266.22003173828125,curve_path_traced
ADR,36,-9.00843200028304,21.096888464242806,126.18599700927734,266.1640319824219,curve_path_traced
ADR,37,-9.002598590467418,21.096888464242806,126.24099731445312,266.1640319824219,curve_path_traced
ADR,38,-8.990613761395535,21.19739235320278,126.35399627685547,266.1080322265625,curve_path_traced
ADR,39,-8.984674348433034,21.19739235320278,126.40999603271484,266.1080322265625,curve_path_traced
ADR,40,-8.973113531948666,21.299703669048682,126.51899719238281,266.051025390625,curve_path_traced
ADR,41,-8.967174118986163,21.299703669048682,126.57499694824219,266.051025390625,curve_path_traced
ADR,42,-8.961234706023662,21.39840013112273,126.63099670410156,265.99603271484375,curve_path_traced
ADR,43,-8.949355880098658,21.39840013112273,126.74299621582031,265.99603271484375,curve_path_traced
ADR,44,-8.943416467136156,21.500711446968634,126.79899597167969,265.93902587890625,curve_path_traced
ADR,45,-8.937370241842448,21.500711446968634,126.85600280761719,265.93902587890625,curve_path_traced
ADR,46,-8.925810234542407,21.601215335928607,126.96499633789062,265.8830261230469,curve_path_traced
ADR,47,-8.919870821579906,21.70171922488858,127.02099609375,265.8270263671875,curve_path_traced
ADR,48,-8.914037411764282,21.70171922488858,127.07599639892578,265.8270263671875,curve_path_traced
ADR,49,-8.9020525826924,21.796800833190773,127.18899536132812,265.7740478515625,curve_path_traced
ADR,50,-8.8961131697299,21.796800833190773,127.2449951171875,265.7740478515625,curve_path_traced
